23_POLISHED_STONE
Total images: 9

157. 1547 | SC | TANGLE SMOKE | printed page 75
158. 1550 | SC | VALLY STONE | printed page 75
159. 1576 | SC | TRENTA STONE | printed page 76
188. 1603 | PS | SPANISH COCO MARBLE | printed page 95
189. 1603 | HG | SPANISH COCO MARBLE | printed page 96
190. 1576 | PS | TRENTA STONE | printed page 97
191. 1577 | PS | FRENCH MARBLE | printed page 97
192. 1104 | PS | FROSTY WHITE | printed page 98
193. 1549 | PS | FOSSIL MARBLE | printed page 98
