Serial,Catalog_PDF_Page,Series,Finish_Code,Design,Product_Code,Color_Name,Filename,Width_px,Height_px
88,29,Premium Gloss,PG,6256,PG-6256,CANYON SAND,20_PREMIUM_GLOSS/088_PG_6256_CANYON_SAND.png,228,568
89,8,Cemento Series,CO,6257,CO-6257,TWILIGHT GREY,03_CEMENTO_SERIES/089_CO_6257_TWILIGHT_GREY.png,1134,284
90,9,Smoked Stone,SST,6257,SST-6257,TWILIGHT GREY,04_SMOKED_STONE/090_SST_6257_TWILIGHT_GREY.png,741,570
91,14,Magic Brush,MB,6257,MB-6257,TWILIGHT GREY,08_MAGIC_BRUSH/091_MB_6257_TWILIGHT_GREY.png,1135,851
92,17,Line Series,CE,6257,CE-6257,TWILIGHT GREY,11_LINE_SERIES/092_CE_6257_TWILIGHT_GREY.png,454,568
93,18,Mirror Flute,HFT,6257,HFT-6257,TWILIGHT GREY,12_MIRROR_FLUTE/093_HFT_6257_TWILIGHT_GREY.png,455,1248
94,21,Double Flute,DF,6257,DF-6257,TWILIGHT GREY,14_DOUBLE_FLUTE/094_DF_6257_TWILIGHT_GREY.png,455,568
95,23,Shade Stone,PST,6257,PST-6257,TWILIGHT GREY,15_SHADE_STONE/095_PST_6257_TWILIGHT_GREY.png,454,568
96,27,Zero Matt,PM,6257,PM-6257,TWILIGHT GREY,19_ZERO_MATT/096_PM_6257_TWILIGHT_GREY.png,228,568
97,29,Premium Gloss,PG,6257,PG-6257,TWILIGHT GREY,20_PREMIUM_GLOSS/097_PG_6257_TWILIGHT_GREY.png,227,568
98,13,Wood Panels,WP,6258,WP-6258,SMOKE GREY,07_WOOD_PANELS/098_WP_6258_SMOKE_GREY.png,1248,1248
99,15,Dazzle Shadow,DS,6258,DS-6258,SMOKE GREY,09_DAZZLE_SHADOW/099_DS_6258_SMOKE_GREY.png,341,1248
100,18,Mirror Flute,HFT,6258,HFT-6258,SMOKE GREY,12_MIRROR_FLUTE/100_HFT_6258_SMOKE_GREY.png,455,1248
101,20,Cross Flute,AF,6258,AF-6258,SMOKE GREY,13_CROSS_FLUTE/101_AF_6258_SMOKE_GREY.png,455,851
102,23,Shade Stone,PST,6258,PST-6258,SMOKE GREY,15_SHADE_STONE/102_PST_6258_SMOKE_GREY.png,454,568
103,24,Deep Flute,WF,6258,WF-6258,SMOKE GREY,16_DEEP_FLUTE/103_WF_6258_SMOKE_GREY.png,455,1248
104,25,Matt Flute,FT,6258,FT-6258,SMOKE GREY,18_MATT_FLUTE/104_FT_6258_SMOKE_GREY.png,455,568
105,27,Zero Matt,PM,6258,PM-6258,SMOKE GREY,19_ZERO_MATT/105_PM_6258_SMOKE_GREY.png,228,568
106,29,Premium Gloss,PG,6258,PG-6258,SMOKE GREY,20_PREMIUM_GLOSS/106_PG_6258_SMOKE_GREY.png,227,568
107,30,Polished Veneer,PV,6258,PV-6258,SMOKE GREY,21_POLISHED_VENEER/107_PV_6258_SMOKE_GREY.png,341,341
108,21,Double Flute,DF,6259,DF-6259,JAVA,14_DOUBLE_FLUTE/108_DF_6259_JAVA.png,738,568
