Seq,Index_Group,Index_Serial,Design_Code,Finish_Code,Product_Name,Printed_Page,PDF_Page,Category,Filename,Crop_Method
181,PRIMARY,69,1591,HG,GHANA TEAK,92,49,24_HIGH_GLOSS,181_1591_HG_GHANA_TEAK.jpg,dimension
182,PRIMARY,112,1705,HG,WILD WILLOW DARK,92,49,24_HIGH_GLOSS,182_1705_HG_WILD_WILLOW_DARK.jpg,dimension
183,PRIMARY,78,1597,HG,BELGIUM OAK MEDIUM,93,50,24_HIGH_GLOSS,183_1597_HG_BELGIUM_OAK_MEDIUM.jpg,dimension
184,PRIMARY,43,1555,HG,BELGIUM TEAK DARK,93,50,24_HIGH_GLOSS,184_1555_HG_BELGIUM_TEAK_DARK.jpg,dimension
185,PRIMARY,164,1902,HG,SALIENT WOOD,94,50,24_HIGH_GLOSS,185_1902_HG_SALIENT_WOOD.jpg,layout
186,PRIMARY,42,1554,HG,BELGIUM TEAK LIGHT,94,50,24_HIGH_GLOSS,186_1554_HG_BELGIUM_TEAK_LIGHT.jpg,layout
187,PRIMARY,118,1708,HG,BENGALI WOOD LIGHT,94,50,24_HIGH_GLOSS,187_1708_HG_BENGALI_WOOD_LIGHT.jpg,layout
188,PRIMARY,93,1603,PS,SPANISH COCO MARBLE,95,51,23_POLISHED_STONE,188_1603_PS_SPANISH_COCO_MARBLE.jpg,dimension
189,PRIMARY,94,1603,HG,SPANISH COCO MARBLE,96,51,23_POLISHED_STONE,189_1603_HG_SPANISH_COCO_MARBLE.jpg,dimension
190,PRIMARY,54,1576,PS,TRENTA STONE,97,52,23_POLISHED_STONE,190_1576_PS_TRENTA_STONE.jpg,dimension
191,PRIMARY,56,1577,PS,FRENCH MARBLE,97,52,23_POLISHED_STONE,191_1577_PS_FRENCH_MARBLE.jpg,dimension
192,PRIMARY,5,1104,PS,FROSTY WHITE,98,52,23_POLISHED_STONE,192_1104_PS_FROSTY_WHITE.jpg,layout
193,PRIMARY,32,1549,PS,FOSSIL MARBLE,98,52,23_POLISHED_STONE,193_1549_PS_FOSSIL_MARBLE.jpg,layout
194,PRIMARY,159,1728,VO,FOSSIL MARBLE,99,53,25_VERTICAL_OAK,194_1728_VO_FOSSIL_MARBLE.jpg,dimension
195,PRIMARY,47,1572,VO,FERRO WOOD DARK,100,53,25_VERTICAL_OAK,195_1572_VO_FERRO_WOOD_DARK.jpg,dimension
196,PRIMARY,142,1721,VO,CLASSIC CEDAR DARK,100,53,25_VERTICAL_OAK,196_1721_VO_CLASSIC_CEDAR_DARK.jpg,dimension
197,PRIMARY,121,1711,VO,TIGER TEAK,101,54,25_VERTICAL_OAK,197_1711_VO_TIGER_TEAK.jpg,dimension
198,PRIMARY,116,1707,VO,BENGALI WOOD DARK,101,54,25_VERTICAL_OAK,198_1707_VO_BENGALI_WOOD_DARK.jpg,dimension
199,PRIMARY,136,1717,VO,CHARCOAL ASH,102,54,25_VERTICAL_OAK,199_1717_VO_CHARCOAL_ASH.jpg,dimension
200,PRIMARY,163,1729,VO,SIGNET RED,102,54,25_VERTICAL_OAK,200_1729_VO_SIGNET_RED.jpg,dimension
201,PRIMARY,33,1549,LL,FOSSIL MARBLE,103,55,26_LAND_STONE,201_1549_LL_FOSSIL_MARBLE.jpg,dimension
202,PRIMARY,25,1548,LL,OUREA MARBLE,103,55,26_LAND_STONE,202_1548_LL_OUREA_MARBLE.jpg,dimension
203,PRIMARY,169,1991,HC,GHANA TEAK,104,55,27_HORIZONTAL_CHANNEL,203_1991_HC_GHANA_TEAK.jpg,dimension
204,PRIMARY,166,1914,HC,PASHMINA WOOD,104,55,27_HORIZONTAL_CHANNEL,204_1914_HC_PASHMINA_WOOD.jpg,dimension
205,PRIMARY,113,1705,RW,WILD WILLOW DARK,105,56,28_REVERSE_WOOD,205_1705_RW_WILD_WILLOW_DARK.jpg,dimension
206,PRIMARY,70,1591,RW,GHANA TEAK,105,56,28_REVERSE_WOOD,206_1591_RW_GHANA_TEAK.jpg,dimension
207,PRIMARY,133,1716,RW,MONO ASH,106,56,28_REVERSE_WOOD,207_1716_RW_MONO_ASH.jpg,dimension
208,PRIMARY,79,1597,RW,BELGIUM OAK MEDIUM,106,56,28_REVERSE_WOOD,208_1597_RW_BELGIUM_OAK_MEDIUM.jpg,dimension
209,PRIMARY,71,1591,NW,GHANA TEAK,107,57,29_NATURAL_WOOD,209_1591_NW_GHANA_TEAK.jpg,dimension
210,PRIMARY,126,1712,NW,BURK NATURAL,107,57,29_NATURAL_WOOD,210_1712_NW_BURK_NATURAL.jpg,dimension
211,PRIMARY,2,1103,NW,OFF WHITE,108,57,29_NATURAL_WOOD,211_1103_NW_OFF_WHITE.jpg,layout
212,PRIMARY,48,1572,NW,FERRO WOOD DARK,108,57,29_NATURAL_WOOD,212_1572_NW_FERRO_WOOD_DARK.jpg,layout
213,PRIMARY,20,1547,STN,TANGLE SMOKE,109,58,30_GRAVE_STONE,213_1547_STN_TANGLE_SMOKE.jpg,dimension
214,PRIMARY,36,1550,STN,VALLY STONE,110,58,30_GRAVE_STONE,214_1550_STN_VALLY_STONE.jpg,dimension
215,PRIMARY,15,1546,STN,COSTA ROCK,110,58,30_GRAVE_STONE,215_1546_STN_COSTA_ROCK.jpg,dimension
216,PRIMARY,9,1326,HW,AFRICAN WOOD,111,59,31_HORIZONTAL_WOOD,216_1326_HW_AFRICAN_WOOD.jpg,dimension
217,PRIMARY,130,1714,HW,HONEY GREY,111,59,31_HORIZONTAL_WOOD,217_1714_HW_HONEY_GREY.jpg,dimension
218,PRIMARY,122,1711,HW,TIGER TEAK,112,59,31_HORIZONTAL_WOOD,218_1711_HW_TIGER_TEAK.jpg,dimension
219,PRIMARY,138,1718,HW,OLIVE ASH,112,59,31_HORIZONTAL_WOOD,219_1718_HW_OLIVE_ASH.jpg,dimension
220,PRIMARY,21,1547,SM,TANGLE SMOKE,113,60,07_SILKY_MATT,220_1547_SM_TANGLE_SMOKE.jpg,layout
221,PRIMARY,26,1548,SM,OUREA MARBLE,113,60,07_SILKY_MATT,221_1548_SM_OUREA_MARBLE.jpg,dimension
222,PRIMARY,37,1550,SM,VALLY STONE,113,60,07_SILKY_MATT,222_1550_SM_VALLY_STONE.jpg,dimension
223,PRIMARY,87,1601,SM,SANDY MIST LIGHT,114,60,07_SILKY_MATT,223_1601_SM_SANDY_MIST_LIGHT.jpg,layout
224,PRIMARY,91,1602,SM,SANDY MIST DARK,114,60,07_SILKY_MATT,224_1602_SM_SANDY_MIST_DARK.jpg,dimension
225,PRIMARY,83,1600,SM,WHITE GOLDEN PEARL,114,60,07_SILKY_MATT,225_1600_SM_WHITE_GOLDEN_PEARL.jpg,dimension
226,PRIMARY,106,1607,SM,DARK UMBER,115,61,07_SILKY_MATT,226_1607_SM_DARK_UMBER.jpg,dimension
227,PRIMARY,102,1606,SM,SANDY CHROME,115,61,07_SILKY_MATT,227_1606_SM_SANDY_CHROME.jpg,dimension
228,PRIMARY,156,1727,SM,SAHARA RED WOOD,116,61,07_SILKY_MATT,228_1727_SM_SAHARA_RED_WOOD.jpg,dimension
229,PRIMARY,72,1591,SM,GHANA TEAK,116,61,07_SILKY_MATT,229_1591_SM_GHANA_TEAK.jpg,dimension
230,PRIMARY,143,1721,SM,CLASSIC CEDAR DARK,117,62,07_SILKY_MATT,230_1721_SM_CLASSIC_CEDAR_DARK.jpg,dimension
231,PRIMARY,139,1718,SM,OLIVE ASH,117,62,07_SILKY_MATT,231_1718_SM_OLIVE_ASH.jpg,dimension
232,PRIMARY,160,1728,SM,AVOISE OAK,118,62,07_SILKY_MATT,232_1728_SM_AVOISE_OAK.jpg,dimension
233,PRIMARY,127,1712,SM,BURK NATURAL,118,62,07_SILKY_MATT,233_1712_SM_BURK_NATURAL.jpg,dimension
234,PRIMARY,68,1590,SM,NATURAL SATEEN WOOD,119,63,07_SILKY_MATT,234_1590_SM_NATURAL_SATEEN_WOOD.jpg,layout
235,PRIMARY,117,1707,SM,BENGALI WOOD DARK,119,63,07_SILKY_MATT,235_1707_SM_BENGALI_WOOD_DARK.jpg,layout
236,PRIMARY,51,1574,VR,KRONBERG WOOD DARK,119,63,33_KRONBERG_WOOD,236_1574_VR_KRONBERG_WOOD_DARK.jpg,layout
237,PRIMARY,50,1573,VR,KRONBERG WOOD LIGHT,119,63,33_KRONBERG_WOOD,237_1573_VR_KRONBERG_WOOD_LIGHT.jpg,layout
238,PRIMARY,38,1551,SW,SUDAN TEAK MEDIUM,120,63,32_SALIENT_WOOD,238_1551_SW_SUDAN_TEAK_MEDIUM.jpg,dimension
239,PRIMARY,61,1579,SW,VINTAGE OAK DARK,120,63,32_SALIENT_WOOD,239_1579_SW_VINTAGE_OAK_DARK.jpg,dimension
240,PRIMARY,62,1579,SV,VINTAGE OAK DARK,121,64,34_SHINY_VENZA,240_1579_SV_VINTAGE_OAK_DARK.jpg,layout
241,PRIMARY,6,1308,SV,RIVERA OAK LIGHT,121,64,34_SHINY_VENZA,241_1308_SV_RIVERA_OAK_LIGHT.jpg,dimension
242,PRIMARY,114,1705,SV,WILD WILLOW DARK,121,64,34_SHINY_VENZA,242_1705_SV_WILD_WILLOW_DARK.jpg,dimension
243,PRIMARY,63,1579,CL,VINTAGE OAK DARK,122,64,35_CRACK_LINE,243_1579_CL_VINTAGE_OAK_DARK.jpg,layout
244,PRIMARY,3,1103,CL,OFF WHITE,122,64,35_CRACK_LINE,244_1103_CL_OFF_WHITE.jpg,dimension
245,PRIMARY,44,1557,CL,CRACK WOOD,122,64,35_CRACK_LINE,245_1557_CL_CRACK_WOOD.jpg,dimension
246,PRIMARY,8,1321,VC,IRISH BROWN,123,65,36_VERTICAL_CHANNEL,246_1321_VC_IRISH_BROWN.jpg,dimension
247,PRIMARY,57,1578,VC,VINTAGE OAK LIGHT,123,65,36_VERTICAL_CHANNEL,247_1578_VC_VINTAGE_OAK_LIGHT.jpg,dimension
248,PRIMARY,64,1579,VC,VINTAGE OAK DARK,123,65,36_VERTICAL_CHANNEL,248_1579_VC_VINTAGE_OAK_DARK.jpg,dimension
249,PRIMARY,73,1591,HO,GHANA TEAK,124,65,37_HORIZONTAL_OAK,249_1591_HO_GHANA_TEAK.jpg,dimension
250,PRIMARY,168,1990,HO,NATURAL SATEEN WOOD,124,65,37_HORIZONTAL_OAK,250_1990_HO_NATURAL_SATEEN_WOOD.jpg,dimension
251,PRIMARY,167,1957,HO,CRACK WOOD,124,65,37_HORIZONTAL_OAK,251_1957_HO_CRACK_WOOD.jpg,dimension
252,PRIMARY,4,1103,CP,OFF WHITE,125,66,38_CHECK_POLISHED,252_1103_CP_OFF_WHITE.jpg,layout
253,PRIMARY,10,1506,CP,HIGHLAND PINE RED,125,66,38_CHECK_POLISHED,253_1506_CP_HIGHLAND_PINE_RED.jpg,dimension
254,PRIMARY,11,1513,CP,BARK WOOD,125,66,38_CHECK_POLISHED,254_1513_CP_BARK_WOOD.jpg,dimension
255,PRIMARY,58,1578,SF,VINTAGE OAK LIGHT,127,67,39_SUEDE_FINISH,255_1578_SF_VINTAGE_OAK_LIGHT.jpg,layout
256,PRIMARY,74,1591,SF,GHANA TEAK,127,67,39_SUEDE_FINISH,256_1591_SF_GHANA_TEAK.jpg,dimension
257,PRIMARY,65,1579,SF,VINTAGE OAK DARK,127,67,39_SUEDE_FINISH,257_1579_SF_VINTAGE_OAK_DARK.jpg,dimension
258,PRIMARY,115,1705,SF,WILD WILLOW DARK,128,67,39_SUEDE_FINISH,258_1705_SF_WILD_WILLOW_DARK.jpg,layout
259,PRIMARY,49,1572,SF,FERRO WOOD DARK,128,67,39_SUEDE_FINISH,259_1572_SF_FERRO_WOOD_DARK.jpg,layout
260,PRIMARY,80,1597,SF,BELGIUM OAK MEDIUM,128,67,39_SUEDE_FINISH,260_1597_SF_BELGIUM_OAK_MEDIUM.jpg,layout
261,PRIMARY,165,1902,SF,SALIENT WOOD,128,67,39_SUEDE_FINISH,261_1902_SF_SALIENT_WOOD.jpg,layout
262,PRIMARY,111,1702,SF,MERINO OAK DARK,129,68,39_SUEDE_FINISH,262_1702_SF_MERINO_OAK_DARK.jpg,layout
263,PRIMARY,39,1551,SF,SUDAN TEAK MEDIUM,129,68,39_SUEDE_FINISH,263_1551_SF_SUDAN_TEAK_MEDIUM.jpg,layout
264,PRIMARY,41,1553,SF,SUDAN TEAK DARK,129,68,39_SUEDE_FINISH,264_1553_SF_SUDAN_TEAK_DARK.jpg,layout
265,PRIMARY,40,1552,SF,SUDAN TEAK LIGHT,129,68,39_SUEDE_FINISH,265_1552_SF_SUDAN_TEAK_LIGHT.jpg,layout
266,ADDITIONAL,,1101,SF,SUPER WHITE,130,68,39_SUEDE_FINISH,266_1101_SF_SUPER_WHITE.jpg,layout
267,ADDITIONAL,,1103,SF,OFF WHITE,130,68,39_SUEDE_FINISH,267_1103_SF_OFF_WHITE.jpg,layout
268,ADDITIONAL,,1103,MT,OFF WHITE,130,68,39_SUEDE_FINISH,268_1103_MT_OFF_WHITE.jpg,layout
269,ADDITIONAL,,1105,SF,IVORY,130,68,39_SUEDE_FINISH,269_1105_SF_IVORY.jpg,layout
270,ADDITIONAL,,1116,SF,LIGHT GREY,130,68,39_SUEDE_FINISH,270_1116_SF_LIGHT_GREY.jpg,layout
271,ADDITIONAL,,1104,SF,FROSTY WHITE,130,68,39_SUEDE_FINISH,271_1104_SF_FROSTY_WHITE.jpg,layout
272,ADDITIONAL,,1102,SF,NATURAL WHITE,130,68,39_SUEDE_FINISH,272_1102_SF_NATURAL_WHITE.jpg,layout
273,ADDITIONAL,,1117,SF,SLATE GREY,130,68,39_SUEDE_FINISH,273_1117_SF_SLATE_GREY.jpg,layout
274,ADDITIONAL,,1161,SF,GREEN,130,68,39_SUEDE_FINISH,274_1161_SF_GREEN.jpg,layout
275,ADDITIONAL,,1160,SF,PARROT GREEN,130,68,39_SUEDE_FINISH,275_1160_SF_PARROT_GREEN.jpg,layout
276,ADDITIONAL,,1142,SF,ORANGE,130,68,39_SUEDE_FINISH,276_1142_SF_ORANGE.jpg,layout
277,ADDITIONAL,,1146,SF,LIME YELLOW,130,68,39_SUEDE_FINISH,277_1146_SF_LIME_YELLOW.jpg,layout
278,ADDITIONAL,,1145,SF,YELLOW,130,68,39_SUEDE_FINISH,278_1145_SF_YELLOW.jpg,layout
279,ADDITIONAL,,1162,SF,PEACOCK GREEN,130,68,39_SUEDE_FINISH,279_1162_SF_PEACOCK_GREEN.jpg,layout
280,ADDITIONAL,,1130,SF,MAROON,130,68,39_SUEDE_FINISH,280_1130_SF_MAROON.jpg,layout
281,ADDITIONAL,,1131,SF,RED,130,68,39_SUEDE_FINISH,281_1131_SF_RED.jpg,layout
282,ADDITIONAL,,1151,SF,BLACK,130,68,39_SUEDE_FINISH,282_1151_SF_BLACK.jpg,layout
283,ADDITIONAL,,1125,SF,PINK,130,68,39_SUEDE_FINISH,283_1125_SF_PINK.jpg,layout
284,ADDITIONAL,,1121,SF,PURPLE,130,68,39_SUEDE_FINISH,284_1121_SF_PURPLE.jpg,layout
285,ADDITIONAL,,1114,SF,CHOCOLATE,130,68,39_SUEDE_FINISH,285_1114_SF_CHOCOLATE.jpg,layout
286,ADDITIONAL,,1111,SF,BROWN,130,68,39_SUEDE_FINISH,286_1111_SF_BROWN.jpg,layout
287,ADDITIONAL,,1115,SF,DARK GREY,130,68,39_SUEDE_FINISH,287_1115_SF_DARK_GREY.jpg,layout
288,ADDITIONAL,,1135,SF,SMOKY BLUE,130,68,39_SUEDE_FINISH,288_1135_SF_SMOKY_BLUE.jpg,layout
289,ADDITIONAL,,1134,SF,BLUE,130,68,39_SUEDE_FINISH,289_1134_SF_BLUE.jpg,layout
